textbox3,textbox5,textbox9,textbox7,textbox14,textbox19,textbox12,textbox32,textbox64,textbox48,textbox10,textbox55
"Thursday, October 16, 2025",All,All,All,All,All,All,All,All,All,True,All

textbox109,AnimalNumber_1,AnimalName,AnimalType,Species,textbox29,Gender,PrimaryColour,Declawed,OperationType,Stage,Location,ARN,PrimaryBreed,AdoptionPrice,textbox54,SecondaryColour,OperationDateCreated,ChipNumber,SubLocation,textbox60,textbox67,AnimalMemoType,AnimalMemoSubType,DateCreated_1,textbox50,AnimalMemo_1,textbox121,textbox124,textbox127,textbox130,textbox23,textbox42
Cat Adoption Condo Rooms,A0058212985,Snowball,Other,Rabbit,6m 17d,M,White,N,Owner Surrender/Born in Care,Available,Cat Adoption Condo Rooms,Bunny 5,Florida White/Satin,$60.00,200,,3/30/2025 10:06 AM,941010004744833,Rabbitat 1,43226733,PAIGEP,On Meds!!                     ,On Meds!                      ,10/6/2025 4:02 PM,,On meds thru 10/11. pp,Cat Adoption Condo Rooms,124,Cat Adoption Condo Rooms,30,1227,357
Cat Adoption Condo Rooms,A0058212985,Snowball,Other,Rabbit,6m 17d,M,White,N,Owner Surrender/Born in Care,Available,Cat Adoption Condo Rooms,Bunny 5,Florida White/Satin,$60.00,200,,3/30/2025 10:06 AM,941010004744833,Rabbitat 1,42078725,NINAP,Daily Monitor                 ,Poop Chart!                   ,5/23/2025 12:58 PM,,"5/23 - A, N, Y 5/24 - A, N, Y 5/26 - A, N, Y 5/27 - A, N, Y 5/28 - A, N, Y 5/29 - A, N, Y 5/30 - A, N, Y 5/31- A, N, Y 6/1/25- A, N, Y-ATE SOME SMALL PIECES OF PINK DOG TOY THAT WAS PUT IN THERE ACCIDENTLY 6/2 - A ,N ,Y 6/3 - A ,N ,Y 6/4 - A, N, Y 9/26 - AS, N, Y 9/27- A, N, Y 9/28- A, N, Y 9/29 - A, N, Y 9/30 - A, N, Y 10/1 - ?, ?, ? 10/2 - A, N, Y 10/3 - A, N, Y 10/4 - A, N, Y 10/5 - A, N, Y 10/6 - A, N, Y 10/7 - AS, N, Y 10/8 - A, N, Y 10/9 - A, N, Y 10/10 - AS, N, Y 10/11 - A, N, Y 10/12 - A, N, Y 10/13 -A, N ,Y 10/14 - A, N ,Y 10/15 - A, N ,Y",Cat Adoption Condo Rooms,124,Cat Adoption Condo Rooms,30,1227,357
Cat Adoption Condo Rooms,A0058757640,Flip Flop,Other,Rabbit,6m 7d,M,Black,N,Owner Surrender/Evaluation/Poss Adopt - OTC!,Available,Cat Adoption Condo Rooms,,Satin/Mix,$60.00,117,,6/21/2025 2:56 PM,941010004626080,Rabbitat 2,42283927,TAMMIC,Note                          ,,6/21/2025 3:25 PM,,"6/21/2025- Rabbits A58757640 and 58757630 were surrendered this afternoon OTC as owner stated they were too much to care for and he did not realize that when he bought them from the auction last month for $5.00. I explained to surrenderer that I did not know if we had open kennels for them and that we schedule by appointment. Surrenderer stated his family told him they wanted them gone and asked where he could take them today to drop off because he doesn't want to just leave them outside somewhere. Rabbits were in a tote in the back of the surrenders vehicle and one did appear thin. Out of concern for the rabbits safety and checking if we had an open place for both rabbits, I booked both rabbits in. Surrenderer stated he had no money today after I told him what the surrender fees where and stated again that he had only paid $5.00 for them. I did send surrenderer with donation envelope. Surrenderer stated neither rabbits were given names and both have been housed together and he believes one is a female and the other is a male, no surr profile was filled out. TMC",Cat Adoption Condo Rooms,124,Cat Adoption Condo Rooms,30,1227,357
Cat Adoption Condo Rooms,A0058757640,Flip Flop,Other,Rabbit,6m 7d,M,Black,N,Owner Surrender/Evaluation/Poss Adopt - OTC!,Available,Cat Adoption Condo Rooms,,Satin/Mix,$60.00,117,,6/21/2025 2:56 PM,941010004626080,Rabbitat 2,43244748,NINAP,On Meds!!                     ,On Meds!                      ,10/8/2025 5:15 PM,,On meds through 10/13/25.,Cat Adoption Condo Rooms,124,Cat Adoption Condo Rooms,30,1227,357
Cat Adoption Condo Rooms,A0058757640,Flip Flop,Other,Rabbit,6m 7d,M,Black,N,Owner Surrender/Evaluation/Poss Adopt - OTC!,Available,Cat Adoption Condo Rooms,,Satin/Mix,$60.00,117,,6/21/2025 2:56 PM,941010004626080,Rabbitat 2,42288712,JACKIEA,Daily Monitor                 ,Poop Chart!                   ,6/22/2025 3:06 PM,,"6/22 - A, N, Y 6/23 - A, N, Y 6/24 - A, N, Y 6/24 - A, N, Y 6/25 -A, N ,Y 6/27 - A, N, Y 10/1 - A, N, Y 10/2 - A, N, Y 10/3 - A, N, Y 10/4 - A, N, Y 10/5 - A, N, Y 10/6 - A, N, Y 10/7 - A, N, Y 10/8 - A, N, Y 10/9 - A, N, Y 10/10 - AS, N, Y 10/11 - AM, N, Y 10/12 - A, N, Y 10/13 -A, N ,Y 10/14 - A, N ,Y 10/15 - A, N ,Y",Cat Adoption Condo Rooms,124,Cat Adoption Condo Rooms,30,1227,357
Cat Adoption Condo Rooms,A0059232182,Solo,Cat,Cat,3y 1m 21d,F,Black,N,Owner Surrender/Evaluation/Poss Adopt - OTC!,Available,Cat Adoption Condo Rooms,,Domestic Shorthair/,$120.00,44,,9/2/2025 12:52 PM,941010004526538,Condo C,42882088,SALLYB,Behavior                      ,Flow Chart                    ,9/8/2025 1:05 PM,,"VERY SWEET CATS ON INTAKE, NO ISSUE HANDLING, ETC.",Cat Adoption Condo Rooms,124,Cat Adoption Condo Rooms,30,1227,357
Cat Adoption Condo Rooms,A0059232182,Solo,Cat,Cat,3y 1m 21d,F,Black,N,Owner Surrender/Evaluation/Poss Adopt - OTC!,Available,Cat Adoption Condo Rooms,,Domestic Shorthair/,$120.00,44,,9/2/2025 12:52 PM,941010004526538,Condo C,42939848,TARAM,Petango/Adoption Description  ,,9/16/2025 11:10 AM,,"Hello! I’m Solo! Can you help change that? I am looking for a patient and kind soul to take me to my forever home. At first meetings, I can be a little shy. New situations and people can be scary! One thing that always helps me feel better is the company of another sweet kitty like me. I love to spend time with my feline friends, cuddling, chatting and having snoozes together. With my favorite humans, I love getting gentle pets and love. With my sweet soul, gentle eyes and calming demeanor, I am sure to bring joy into any home. So don’t wait! Come on by and let’s meet!",Cat Adoption Condo Rooms,124,Cat Adoption Condo Rooms,30,1227,357
Cat Adoption Condo Rooms,A0059232182,Solo,Cat,Cat,3y 1m 21d,F,Black,N,Owner Surrender/Evaluation/Poss Adopt - OTC!,Available,Cat Adoption Condo Rooms,,Domestic Shorthair/,$120.00,44,,9/2/2025 12:52 PM,941010004526538,Condo C,42989100,GIOE,Behavior                      ,Enrichment/Training           ,9/23/2025 12:09 PM,,"Solo has made great improvement with enrichment. She was on top of the cat tree facing the wall upon entering the condo. Upon approaching, she stood up, came forward and solicited pets. She accepted treats and offered and returned slow blinks. She has been more active in the condo room and making use of the cat tree. This is a great improvement to her previous demeanor, hiding in the corner, retreating, hard stares, some hissing. Will remove behavior consult with continued, consistent improvement - GE 9/23/25",Cat Adoption Condo Rooms,124,Cat Adoption Condo Rooms,30,1227,357
Cat Adoption Condo Rooms,A0059232182,Solo,Cat,Cat,3y 1m 21d,F,Black,N,Owner Surrender/Evaluation/Poss Adopt - OTC!,Available,Cat Adoption Condo Rooms,,Domestic Shorthair/,$120.00,44,,9/2/2025 12:52 PM,941010004526538,Condo C,42888443,GIOE,Behavior                      ,Flow Chart                    ,9/9/2025 11:18 AM,,"Shy, nervous cat but non-reactive. Will need time and patience to come out of her shell and adjust to change in new home - GE 9/9/25 Solo is continuing to do well, accepting treats and soliciting pets. Struggled with getting packed up for Trocaire but is showing continuous, consistent improvement. Will remove behavior consult - GE 9/30/25 Solo is adjusting well to his new condo-mates. Responded neutrally in the presence of Ginevra and Florenzo, came down to share treats & sniff new blankets. Will continue to monitor behavior and ensure a smooth transition - GE 10/1/25",Cat Adoption Condo Rooms,124,Cat Adoption Condo Rooms,30,1227,357
Cat Adoption Condo Rooms,A0059232182,Solo,Cat,Cat,3y 1m 21d,F,Black,N,Owner Surrender/Evaluation/Poss Adopt - OTC!,Available,Cat Adoption Condo Rooms,,Domestic Shorthair/,$120.00,44,,9/2/2025 12:52 PM,941010004526538,Condo C,43199943,GIOE,Behavior                      ,Other                         ,10/2/2025 2:30 PM,,Solo 59232182 & Leia 59232190 are bonded. They are in constant close proximity and stress when separated - GE 10/2/25,Cat Adoption Condo Rooms,124,Cat Adoption Condo Rooms,30,1227,357
Cat Adoption Condo Rooms,A0059232182,Solo,Cat,Cat,3y 1m 21d,F,Black,N,Owner Surrender/Evaluation/Poss Adopt - OTC!,Available,Cat Adoption Condo Rooms,,Domestic Shorthair/,$120.00,44,,9/2/2025 12:52 PM,941010004526538,Condo C,43200016,GIOE,Alert Memo!!!                 ,Alert Memo!!!                 ,10/2/2025 2:34 PM,,"SOLO 59232182 & LEIA 59232190 ARE BONDED, MUST GO HOME TOGETHER",Cat Adoption Condo Rooms,124,Cat Adoption Condo Rooms,30,1227,357
Cat Adoption Condo Rooms,A0059232182,Solo,Cat,Cat,3y 1m 21d,F,Black,N,Owner Surrender/Evaluation/Poss Adopt - OTC!,Available,Cat Adoption Condo Rooms,,Domestic Shorthair/,$120.00,44,,9/2/2025 12:52 PM,941010004526538,Condo C,42974091,GIOE,Behavior                      ,Adoption Info                 ,9/20/2025 3:54 PM,,"OKAY FOR ADOPTION - BEHAVIOR 9/9/25 SHY INITIALLY BUT WARMS UP WITH TIME AND PATIENCE PREVIOUSLY LIVED WITH OTHER CATS, MAY BE BEST WITH ANOTHER CAT BONDED TO LEIA (59232190) MUST GO HOME TOGETHER PREVIOUSLY LIVED WITH DOGS OLDER CHILD/ADULT HOME RECOMMENDED QUIET HOME RECOMMENDED WILL NEED TIME AND PATIENCE TO COME OUT OF HER SHELL AND ADJUST TO CHANGE IN NEW HOME 9/30 - removed behavior consult",Cat Adoption Condo Rooms,124,Cat Adoption Condo Rooms,30,1227,357
Cat Adoption Condo Rooms,A0059232182,Solo,Cat,Cat,3y 1m 21d,F,Black,N,Owner Surrender/Evaluation/Poss Adopt - OTC!,Available,Cat Adoption Condo Rooms,,Domestic Shorthair/,$120.00,44,,9/2/2025 12:52 PM,941010004526538,Condo C,43290004,Cary Munschauer,Alert Memo!!!                 ,Alert Memo!!!                 ,10/15/2025 11:12 AM,,OK PER LAA FOR SOLO AND LEIA TO GO HOME TOGETHER DURING LEIA'S SCRATCH HOLD. ADOPTIONS STAFF AWARE. CM 10/15/25,Cat Adoption Condo Rooms,124,Cat Adoption Condo Rooms,30,1227,357
Cat Adoption Condo Rooms,A0059232182,Solo,Cat,Cat,3y 1m 21d,F,Black,N,Owner Surrender/Evaluation/Poss Adopt - OTC!,Available,Cat Adoption Condo Rooms,,Domestic Shorthair/,$120.00,44,,9/2/2025 12:52 PM,941010004526538,Condo C,42841783,JENT,Daily Monitor                 ,Poop Chart!                   ,9/2/2025 4:59 PM,,"9/2 - A/N/Y 9/3 -NE, NO ,Y 9/4 - AM, N, Y 9/5- AS dry, NE wet, NO, Y 9/6 - A, N, Y 9/7- AS, N, Y 9/8 - AM DRY AND ALL CANNED, N/S, Y 9/9 - AS, N, Y 9/10- Am, N, Y 9/11/25- AM WET, AM DRY, N, Y 9/12- AM, N, Y 9/13- AS WET/AS DRY, N, Y 9/14- AM WET/AM DRY, N, Y 9/15- AS, N, Y 9/17 - A, N, Y 9/18 - All wet/ AM dry, N, Y 9/19 - A, N, Y 9/20 - AS, N, Y 9/21 - AM, N, Y 9/22 - AM, N, Y 9/23 -ALL DRY AND AS CANNED, N, Y 9/24 - AM, N, Y 9/25 - AM Wet AS Dry, N, Y 9/26 - AS, NO, Y 9/27 - AM, N, Y 9/28- AM, N, Y 9/29 - AM, N, Y Threw Up 9/30- All Wet AM Dry, N, Y 10/1 - All Wet AS Dry, N, Y Threw Up 10/2 - AM, N, Y Hair Ball Vomit 10/3 - AS, N, Y Vomit 10/4 - A, N, Y 10/5 -AM DRY AND ALL CANNED , N ,Y 10/6 - AS CANNED AND AVL DRY, N, Y 10/7 - A ,N ,Y 10/ 8 - A, N ,Y 10/10 - A, N, Y 10/11 - A, N, Y 10/12 - A, N, Y 10/13 -A, N ,Y 10/14 - A, N ,Y - SOMEOME VOMITED A PIECE OF HAY 10/15 -A, N ,Y",Cat Adoption Condo Rooms,124,Cat Adoption Condo Rooms,30,1227,357
Cat Adoption Condo Rooms,A0059232190,Leia,Cat,Cat,3y 1m 21d,F,Black,N,Owner Surrender/Evaluation/Poss Adopt - OTC!,Hold - Bite/Scratch,Cat Adoption Condo Rooms,,Domestic Shorthair/,$120.00,44,White,9/2/2025 12:52 PM,941010004620340,Condo C,42888396,GIOE,Behavior                      ,Flow Chart                    ,9/9/2025 11:12 AM,,"Shy, nervous cat but non-reactive. Will need time and patience to come out of her shell and adjust to change in new home - GE 9/9/25 Leia is doing well, vocalizing for attention, accepting treats, soliciting pets. Will remove behavior consult with continued, consistent improvement - GE 9/30/25 Removed behavior consult - GE 10/1/25 Leia is adjusting okay to her new condo-mates. She initially approached Ginevra, and then retreated under a kurunda and would hiss/growl upon seeing Ginevra. She did not accept treats and continued to softly growl when she would see Ginevra. She relaxed with some time and removed herself from the encounter, perching on top of a kurunda on the shelf. She is still alert but more calm/relaxed. Will continue to monitor behavior and ensure a smooth transition - GE 10/1/25",Cat Adoption Condo Rooms,124,Cat Adoption Condo Rooms,30,1227,357
Cat Adoption Condo Rooms,A0059232190,Leia,Cat,Cat,3y 1m 21d,F,Black,N,Owner Surrender/Evaluation/Poss Adopt - OTC!,Hold - Bite/Scratch,Cat Adoption Condo Rooms,,Domestic Shorthair/,$120.00,44,White,9/2/2025 12:52 PM,941010004620340,Condo C,43199947,GIOE,Behavior                      ,Other                         ,10/2/2025 2:30 PM,,Solo 59232182 & Leia 59232190 are bonded. They are in constant close proximity and stress when separated - GE 10/2/25,Cat Adoption Condo Rooms,124,Cat Adoption Condo Rooms,30,1227,357
Cat Adoption Condo Rooms,A0059232190,Leia,Cat,Cat,3y 1m 21d,F,Black,N,Owner Surrender/Evaluation/Poss Adopt - OTC!,Hold - Bite/Scratch,Cat Adoption Condo Rooms,,Domestic Shorthair/,$120.00,44,White,9/2/2025 12:52 PM,941010004620340,Condo C,43199984,GIOE,Alert Memo!!!                 ,Alert Memo!!!                 ,10/2/2025 2:32 PM,,"SOLO 59232182 & LEIA 59232190 ARE BONDED, MUST GO HOME TOGETHER",Cat Adoption Condo Rooms,124,Cat Adoption Condo Rooms,30,1227,357
Cat Adoption Condo Rooms,A0059232190,Leia,Cat,Cat,3y 1m 21d,F,Black,N,Owner Surrender/Evaluation/Poss Adopt - OTC!,Hold - Bite/Scratch,Cat Adoption Condo Rooms,,Domestic Shorthair/,$120.00,44,White,9/2/2025 12:52 PM,941010004620340,Condo C,42888399,GIOE,Behavior                      ,Adoption Info                 ,9/9/2025 11:12 AM,,"OKAY FOR ADOPTION - BEHAVIOR 9/9/25 SHY, NERVOUS CAT BUT FRIENDLY WHEN SHE COMES OUT OF HER SHELL PREVIOUSLY LIVED WITH OTHER CATS, MAY DO BEST WITH OTHER CATS BONDED TO SOLO (59232182) MUST GO HOME TOGETHER PREVIOUSLY LIVED WITH DOGS OLDER CHILD/ADULT HOME RECOMMENDED QUIET HOME RECOMMENDED WILL NEED TIME AND PATIENCE TO COME OUT OF HER SHELL AND ADJUST TO CHANGE IN NEW HOME",Cat Adoption Condo Rooms,124,Cat Adoption Condo Rooms,30,1227,357
Cat Adoption Condo Rooms,A0059232190,Leia,Cat,Cat,3y 1m 21d,F,Black,N,Owner Surrender/Evaluation/Poss Adopt - OTC!,Hold - Bite/Scratch,Cat Adoption Condo Rooms,,Domestic Shorthair/,$120.00,44,White,9/2/2025 12:52 PM,941010004620340,Condo C,43273495,SHAUNW,HOLD                          ,,10/13/2025 10:20 AM,10/23/2025 10:19 AM,"Brody Swartout was petting Leia for a few moments when the cat spun and scratched BS hand. Wound was cleaned and bandaged, cat is under observation. SW",Cat Adoption Condo Rooms,124,Cat Adoption Condo Rooms,30,1227,357
Cat Adoption Condo Rooms,A0059232190,Leia,Cat,Cat,3y 1m 21d,F,Black,N,Owner Surrender/Evaluation/Poss Adopt - OTC!,Hold - Bite/Scratch,Cat Adoption Condo Rooms,,Domestic Shorthair/,$120.00,44,White,9/2/2025 12:52 PM,941010004620340,Condo C,43289995,Cary Munschauer,Alert Memo!!!                 ,Alert Memo!!!                 ,10/15/2025 11:11 AM,,OK PER LAA FOR SOLO AND LEIA TO GO HOME TOGETHER DURING LEIA'S SCRATCH HOLD. ADOPTIONS STAFF AWARE. CM 10/15/25,Cat Adoption Condo Rooms,124,Cat Adoption Condo Rooms,30,1227,357
Cat Adoption Condo Rooms,A0059232190,Leia,Cat,Cat,3y 1m 21d,F,Black,N,Owner Surrender/Evaluation/Poss Adopt - OTC!,Hold - Bite/Scratch,Cat Adoption Condo Rooms,,Domestic Shorthair/,$120.00,44,White,9/2/2025 12:52 PM,941010004620340,Condo C,42841801,JENT,Daily Monitor                 ,Poop Chart!                   ,9/2/2025 4:59 PM,,"9/2 - A/N/Y 9/3 -NE, NO ,Y 9/4 - AM, N, Y 9/5- AS dry, NE wet, NO, Y 9/6 - A, N, Y 9/7- AS, N, Y 9/8 - AM DRY AND ALL CANNED, N/S, Y 9/9 - AS, N, Y 9/10- AM, N, Y 9/11/25- AM WET, AM DRY, N, Y 9/12- AM, N, Y 9/13- AS WET/AS DRY, N, Y 9/14- AM WET/AM DRY, N, Y 9/15- AS, N, Y 9/17 - A, N, Y 9/19 - A, N, Y 9/20 - AS, N, Y 9/21 - AM, N, Y 9/22 - AM, N, Y 9/23 -ALL DRY AND AS CANNED, N, Y 9/24 - AM, N, Y 9/25 - AM Wet AS Dry, N, Y 9/26 - AS, NO, Y 9/27 - AM, N, Y 9/28- AM, N, Y 9/29 - AM, N, Y Threw Up 9/30- All Wet AM Dry, N, Y 10/1 - All Wet AS Dry, N, Y Threw Up 10/2 - AM, N, Y Hair Ball Vomit 10/3 - AS, N, Y Vomit 10/4 - A, N, Y 10/5 -AM DRY AND ALL CANNED , N ,Y 10/6 - AS CANNED AND AVL DRY, N, Y 10/7 - A ,N ,Y 10/ 8 - A, N ,Y 10/10 - A, N, Y 10/11 - A, N, Y 10/12 - A, N, Y 10/13 -A, N ,Y 10/14 - A, N ,Y - SOMEOME VOMITED A PIECE OF HAY 10/15 -A, N ,Y",Cat Adoption Condo Rooms,124,Cat Adoption Condo Rooms,30,1227,357
Cat Adoption Condo Rooms,A0059232190,Leia,Cat,Cat,3y 1m 21d,F,Black,N,Owner Surrender/Evaluation/Poss Adopt - OTC!,Hold - Bite/Scratch,Cat Adoption Condo Rooms,,Domestic Shorthair/,$120.00,44,White,9/2/2025 12:52 PM,941010004620340,Condo C,42882092,SALLYB,Behavior                      ,Flow Chart                    ,9/8/2025 1:06 PM,,"VERY SWEET CATS ON INTAKE, NO ISSUE HANDLING, ETC.",Cat Adoption Condo Rooms,124,Cat Adoption Condo Rooms,30,1227,357
Cat Adoption Condo Rooms,A0059232190,Leia,Cat,Cat,3y 1m 21d,F,Black,N,Owner Surrender/Evaluation/Poss Adopt - OTC!,Hold - Bite/Scratch,Cat Adoption Condo Rooms,,Domestic Shorthair/,$120.00,44,White,9/2/2025 12:52 PM,941010004620340,Condo C,42939827,TARAM,Petango/Adoption Description  ,,9/16/2025 11:08 AM,,"Hey there! I’m Leia. I am a sweet, lovely girl who is looking for someone with a gentle heart and patient soul to become my new best friend! At first meetings, I can be a little shy. New situations and people can be intimidating! Once I get to know you, I will love some gentle pets and loving company. In my free time, you can usually find me curled up in the sunny rays from a big, wide window, snoozing the day away. I enjoy the calm way of life and love to relax. If all this sounds good to you, we might be a match! Come on by and let’s meet!",Cat Adoption Condo Rooms,124,Cat Adoption Condo Rooms,30,1227,357
Cat Adoption Condo Rooms,A0059232190,Leia,Cat,Cat,3y 1m 21d,F,Black,N,Owner Surrender/Evaluation/Poss Adopt - OTC!,Hold - Bite/Scratch,Cat Adoption Condo Rooms,,Domestic Shorthair/,$120.00,44,White,9/2/2025 12:52 PM,941010004620340,Condo C,42989224,GIOE,Behavior                      ,Enrichment/Training           ,9/23/2025 12:16 PM,,"Leia is doing well with enrichment. She was laying on the kurunda on the shelf in the condo upon entering the room. Her body language was calm, she sat up upon approach. She did not accept treats but she did come forward to sniff my hand. She returned slow blinks. Leia has been more active in the condo room, watching people through the window. Will continue regular enrichment to work on engagement - GE 9/23/25",Cat Adoption Condo Rooms,124,Cat Adoption Condo Rooms,30,1227,357
